Damage_Status,OBJECTID,aadt_type,priority,sh_sa_ir,faadt,fedfunccls,fed_urbrur,capacity,jurisdictn,link_id,nhs_status,num_lanes,offic_mile,prim_bmp,prirtecode,prim_emp,prirtename,segment_id,speed_lim,speedsrc,st_urbrur,strtname,townname,towncode,cntyname,cnty_no,surfc_type,dot_region,dot_regi_1,Shape_Leng,x,y,Z_Min,Z_Max,Z_Mean,Min_Slope,Avg_Slope,Max_Slope,Damage_Status_y,Nearest_Gauge,Max_Height,Return_Period,Distance_to_Coast_m,Nearest_Wave_Gauge,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Nearest_Wind_Gauge,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Min,Rel_Elev_Mean,Rel_Elev_Max,Inundation_Duration_Min
Damage,149052,E,5,IR-0901297,371,Local,Rural,1000,Townway,5097984,Non-fed aid non-NHS,2,Y,0.734,901297,1.13,RD INV 09 01297,37911,25,Posted,Rural,WADSWORTH COVE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,272.1076302,-68.80858043,44.39734446,2.000000064,4.000000128,3.262024734,0,1.10073912,6.165172639,Damage,Bar Harbor,3.096768,257.9,224.6132757,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,-1.096768,0.165256629,0.903232,306
No Damage,5641,E,4,SH-0255,2400,Major Collector,Rural,1800,State hwy,3107595,Fed aid non-NHS,2,Y,0.74,0166X,0.788,ST RTE 166,22364,40,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,32.83042725,-68.80538675,44.39757698,4.000000128,5.00000016,4.212261887,0,0.77185345,5.602218605,No Damage,Bar Harbor,3.096768,257.9,31.38620457,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,0.903232,1.115493753,1.903232,0
No Damage,5638,E,4,SH-0255,2400,Major Collector,Rural,1800,State hwy,3107595,Fed aid non-NHS,2,Y,0.788,0166X,1,ST RTE 166,22044,45,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,145.1337549,-68.80508996,44.39944154,5.00000016,18.00000058,11.21407021,0,1.352919322,6.629814384,No Damage,Bar Harbor,3.096768,257.9,107.4308206,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,1.903232,8.11730185,14.903232,0
No Damage,4578,E,4,SH-0255,2403,Major Collector,Rural,1800,State hwy,3107594,Fed aid non-NHS,2,Y,0.5,0166X,0.74,ST RTE 166,35448,40,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,164.9491362,-68.80366699,44.39598724,3.000000096,25.0000008,10.70620114,0,1.864421676,6.537092456,No Damage,Bar Harbor,3.096768,257.9,103.6072105,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,-0.096768,7.6094328,21.903232,36
No Damage,4587,E,4,SH-0255,2400,Major Collector,Rural,1800,State hwy,3107595,Fed aid non-NHS,2,Y,1,0166X,1.27,ST RTE 166,11101,45,Posted,Rural,CASTINE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,184.1664892,-68.8036547,44.40274173,5.4864,9.144,8.11040839,0,1.610507866,6.574547444,No Damage,Bar Harbor,3.096768,257.9,296.0036901,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,14.903232,23.51218341,26.903232,0
No Damage,105985,E,4,SH-0751,1310,Major Collector,Rural,1800,State hwy,3124036,Fed aid non-NHS,2,Y,1.27,0166X,1.56,ST RTE 166,94266,35,Posted,Rural,THE SHORE RD,Castine,9080,Hancock,9,Flexible,4,Eastern,199.9345011,-68.80438417,44.40597647,4.8768,6.4008,5.484681019,0,1.136803075,6.145074032,No Damage,Bar Harbor,3.096768,257.9,352.9476132,Eastern Shelf,7.45,135.41,4.26,140.36,Penobscott Bay,21.42,297.8,13.1,301.07,Belfast,3.2512,12.903232,14.8975923,17.903232,0
Damage,42643,E,5,IR-2901406,220,Local,Rural,1000,Townway,5101585,Non-fed aid non-NHS,2,Y,0.12,2901406,0.21,RD INV 29 01406,10159,0,Unposted,Rural,LOWER WATER ST,Lubec,29260,Washington,29,Flexible,4,Eastern,63.90571933,-66.98238082,44.85749527,4.000000128,5.00000016,4.348053512,0,0.649974536,6.068421669,Damage,Eastport,4.65,18.56,49.49842953,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,0.867237374,1.519184,0
No Damage,150183,A,5,IR-2901403,350,Local,Rural,1000,Townway,231504,Non-fed aid non-NHS,2,Y,0.11,2901403,0.2,RD INV 29 01403,27928,0,Unposted,Rural,PLEASANT ST,Lubec,29260,Washington,29,Flexible,4,Eastern,64.80875581,-66.98318876,44.85737446,4.000000128,6.000000192,4.96053422,0,0.7997884,5.673525682,No Damage,Eastport,4.65,18.56,114.7184822,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,1.479718062,2.519184,0
No Damage,42445,A,5,IR-2901920,220,Local,Rural,1000,Townway,5101570,Non-fed aid non-NHS,2,Y,0,2901920,0.04,RD INV 29 01920,19930,0,Unposted,Rural,LOWER WATER ST,Lubec,29260,Washington,29,Flexible,4,Eastern,28.69728884,-66.98299081,44.85809105,4.000000128,6.000000192,5.031077628,0,1.498873487,5.835097932,No Damage,Eastport,4.65,18.56,66.79936477,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,1.550261467,2.519184,0
No Damage,42444,A,5,IR-2901403,550,Local,Rural,1000,Townway,5101569,Non-fed aid non-NHS,2,Y,0.2,2901403,0.24,RD INV 29 01403,27051,0,Unposted,Rural,PLEASANT ST,Lubec,29260,Washington,29,Flexible,4,Eastern,30.00142058,-66.98351608,44.85833593,6.000000192,6.000000192,6.000000192,0,0,0,No Damage,Eastport,4.65,18.56,87.95384733,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,2.519184,2.519184,2.519184,0
No Damage,150738,A,5,IR-2901404,150,Local,Rural,1000,Townway,231508,Non-fed aid non-NHS,2,Y,0.2,2901404,0.24,RD INV 29 01404,11656,0,Unposted,Rural,DEWEY MOWRY ST,Lubec,29260,Washington,29,Flexible,4,Eastern,27.70778148,-66.98258402,44.85677786,4.000000128,4.000000128,4.000000128,0,0,0,No Damage,Eastport,4.65,18.56,76.44595978,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,0.519184,0.519184,0
No Damage,42644,A,5,IR-2901406,80,Local,Rural,1000,Townway,5101586,Non-fed aid non-NHS,2,Y,0.1,2901406,0.12,RD INV 29 01406,45091,0,Unposted,Rural,LOWER WATER ST,Lubec,29260,Washington,29,Flexible,4,Eastern,16.69254577,-66.98213696,44.85667128,4.000000128,4.000000128,4.000000128,0,0,0,No Damage,Eastport,4.65,18.56,47.22435693,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Eastport,1.4478,0.519184,0.519184,0.519184,0
Damage,148970,A,5,IR-2900599,740,Local,Rural,1000,Townway,230941,Non-fed aid non-NHS,2,Y,2.48,2900599,2.9,RD INV 29 00599,93267,0,Unposted,Rural,RIDGE RD,Addison,29010,Washington,29,Flexible,4,Eastern,288.9712589,-67.74817084,44.61706681,0,11.00000035,4.067830803,0,1.662045702,8.613221825,Damage,Cutler Wharf,3.480816,26.08,17.06311155,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,-3.480816,0.587014674,7.519184,804
No Damage,22560,E,4,SA-003,1237,Major Collector,Rural,1800,State aid,3129526,Fed aid non-NHS,2,Y,0,2900601,0.06,RD INV 29 00601,6021,0,Unposted,Rural,WATER ST,Addison,29010,Washington,29,Flexible,4,Eastern,43.49209997,-67.74401871,44.6185587,4.000000128,6.000000192,4.527258455,0,0.950034074,6.029046419,No Damage,Cutler Wharf,3.480816,26.08,95.74757513,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,0.519184,1.04644231,2.519184,0
No Damage,8528,E,4,SA-003,1136,Major Collector,Rural,1800,State aid,3113013,Fed aid non-NHS,2,Y,2.39,2900599,2.48,RD INV 29 00599,69167,0,Unposted,Rural,WATER ST,Addison,29010,Washington,29,Flexible,4,Eastern,63.10839359,-67.74434087,44.61932008,6.000000192,10.00000032,7.666889031,0,1.199279854,5.698600633,No Damage,Cutler Wharf,3.480816,26.08,126.2000212,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,2.519184,4.186072785,6.519184,0
No Damage,8532,E,4,SA-003,1136,Major Collector,Rural,1800,State aid,3113013,Fed aid non-NHS,2,Y,2.37,2900599,2.39,RD INV 29 00599,96571,0,Unposted,Rural,WATER ST,Addison,29010,Washington,29,Flexible,4,Eastern,13.9374453,-67.74395989,44.62008028,10.00000032,11.00000035,10.82067832,0,1.202409196,5.867680168,No Damage,Cutler Wharf,3.480816,26.08,119.7980779,Jonesport,5.97,144,3.39,144.49,Jonesport,22.3,135,13.93,143.06,Mount Desert,4.4196,6.519184,7.33986197,7.519184,0
