OBJECTID,Damage_Status,STREET,PRE_DIR,PRE_TYPE,NAME,TYPE,SUF_DIR,ALIAS1,ALIAS1_TYP,ALIAS2,ALIAS2_TYP,NAME_ACCUR,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,ADD_ACCUR,SOURCE_DAT,DATA_SECUR,DISTRIBUTI,LOADDATE,QUALITY,SCALE,CO_NAME,MDEM_ID,Shape_Leng,Z_Mean,Z_Min,Z_Max,Avg_Slope,Min_Slope,Max_Slope,Nearest_Gauge,Max_Height,Return_Period,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Mean,Rel_Elev_Min,Rel_Elev_Max,Longitude,Latitude,Distance_to_Coast_m,Inundation_Duration_Min
12005,Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,310.5305189,2.79364068,2.501405478,3.182499886,1.716286852,0.023591295,5.212880135,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,79.78,1.00864068,0.716405478,1.397499886,-89.2768764,30.30513502,71.01059063,0
16547,No Damage,LADY MARY AVE,,,LADY MARY,AVE,,,,,,2,105,199,106,200,2,Mississippi Gulf Base Mapping,0,E4,9/18/09,0,0,Harrison,2007 Coast,474.755361,3.308889308,2.38166666,3.930000067,1.026219709,0.031848077,2.780889511,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,134.78,1.523889308,0.59666666,2.145000067,-89.2801468,30.30681905,86.51073361,0
6012,No Damage,EVERETT ST,,,EVERETT,ST,,,,,,2,869,899,0,0,2,Mississippi Gulf Base Mapping,0,E4,9/18/09,0,0,Harrison,2007 Coast,86.2328943,2.593835063,1.179999948,3.180000067,4.219616811,0.031848077,16.06097412,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,15.78,0.808835063,-0.605000052,1.395000067,-89.2803427,30.30896788,175.0470926,732
6862,No Damage,EVERETT ST,,,EVERETT,ST,,,,,,2,579,867,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,220.0569742,2.357500878,1.830000043,3.276666641,2.527197983,0.063221194,16.3116951,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,23.78,0.572500878,0.045000043,1.491666641,-89.2787399,30.3091516,213.5863083,0
5615,No Damage,BOISDORE AVE,,,BOISDORE,AVE,,,,,,2,121,109,120,210,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,470.4819166,3.588350271,1.936282039,4.167500019,1.210812769,0.026691068,16.06097412,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,13.78,1.803350271,0.151282039,2.382500019,-89.2792764,30.30694968,85.08402757,0
17970,No Damage,ELLIOTT AVE,,,ELLIOTT,AVE,,,,,,2,105,157,106,158,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,454.8923057,3.25668044,1.909999967,4.527143002,1.710742873,0.105357617,7.67009306,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,150.78,1.47168044,0.124999967,2.742143002,-89.2768919,30.30684715,83.65640874,0
6364,Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,906.3646353,2.785164158,2.369999886,3.404999971,1.706323391,0.011936182,6.546491146,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,18.78,1.000164158,0.584999886,1.619999971,-89.2666497,30.30784744,64.89622116,0
18143,No Damage,CEDAR AVE,,,CEDAR,AVE,,,,,,2,107,199,106,198,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,450.9529863,3.127628817,2.516666651,3.920000076,0.976293179,0.030724183,3.026573896,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,154.78,1.342628817,0.731666651,2.135000076,-89.2713104,30.30793943,97.64746117,0
16459,No Damage,BEACH VIEW DR,,,BEACH VIEW,DR,,,,,,2,101,207,100,206,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,272.957417,3.970570194,2.776666641,4.414999962,1.389954767,0.054251365,6.064089775,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,131.78,2.185570194,0.991666641,2.629999962,-89.2688383,30.3084202,76.73356979,0
19579,No Damage,VISTA DR,,,VISTA,DR,,,,,,2,101,117,102,116,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,266.7393987,3.91144569,2.697999954,4.420000076,1.448065579,0.081547171,7.782991886,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,178.78,2.12644569,0.912999954,2.635000076,-89.2681727,30.30866664,78.13081544,0
18092,No Damage,SHELL ST,,,SHELL,ST,,,,,,3,0,0,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,65.33076292,3.267340912,2.697999954,3.933333397,1.574651188,0.256631523,4.058001995,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,151.78,1.482340912,0.912999954,2.148333397,-89.2690095,30.30965659,344.3809094,0
6878,No Damage,BARKLEY DR,,,BARKLEY,DR,,,,,,2,101,205,100,206,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,497.8428324,3.580077648,2.069999933,4.440000057,1.508833083,0.096443757,7.009271145,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,24.78,1.795077648,0.284999933,2.655000057,-89.2674643,30.30914737,77.31560469,0
16725,Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,2,0,0,700,730,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,274.7279381,3.503826203,2.670000076,4.425000191,2.096491929,0.03275777,9.52719593,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,137.78,1.718826203,0.885000076,2.640000191,-89.2635445,30.30919189,81.70514346,0
15530,No Damage,JACKSON AVE,,,JACKSON,AVE,,,,,,2,1,11,2,12,2,Mississippi Gulf Base Mapping,0,E4,9/18/09,0,0,Harrison,2007 Coast,250.7005687,3.778804081,2.785000086,4.360000134,1.21402502,0.03275777,6.676772594,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,121.78,1.993804081,1.000000086,2.575000134,-89.2652644,30.30969651,82.60992783,0
16859,No Damage,,,,,,,,,,,0,0,0,0,0,0,Mississippi Gulf Base Mapping,0,E4,9/18/09,0,0,Harrison,2007 Coast,109.2657805,2.957701073,2.392499924,3.416666746,1.104911222,0.227414355,2.336012363,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,142.78,1.172701073,0.607499924,1.631666746,-89.2656844,30.31110251,329.6990799,0
16765,No Damage,MAGNOLIA AVE,,,MAGNOLIA,AVE,,,,,,2,111,199,110,198,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,207.0028537,4.590829605,4.107500076,4.869999886,0.91260067,0.05639619,3.312106133,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,139.78,2.805829605,2.322500076,3.084999886,-89.2626777,30.31067483,100.8544046,0
15231,No Damage,ST LOUIS ST,,,ST LOUIS,ST,,,,,,2,701,725,700,724,2,Mississippi Gulf Base Mapping,0,E4,9/18/09,0,0,Harrison,2007 Coast,109.8155688,4.675388244,4.239999771,4.869999886,0.947427224,0.024159485,2.62015605,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,116.78,2.890388244,2.454999771,3.084999886,-89.263646,30.3112603,302.9861677,0
15494,No Damage,WEST END RD,,,WEST END,RD,,,,,,2,0,0,0,0,2,Mississippi Gulf Base Mapping,0,E4,9/18/09,0,0,Harrison,2007 Coast,203.6038605,3.197286939,2.319999933,4.579999924,2.077062715,0.340510458,3.976267099,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,120.78,1.412286939,0.534999933,2.794999924,-89.2642919,30.31145426,309.5219244,0
13941,Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,249.3133661,3.067700851,2.474999905,3.453333378,2.747180846,0.081098296,7.912919521,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,591.78,1.282700851,0.689999905,1.668333378,-89.2381122,30.31689128,73.56258571,0
19465,No Damage,E SCENIC DR,E,,SCENIC,DR,,,,,,2,301,399,300,398,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,266.5996732,5.856012525,5.078101635,6.093333244,1.755456294,0.085428715,5.97530365,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,201.78,4.071012525,3.293101635,4.308333244,-89.2405203,30.31657149,108.7846018,0
10092,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,2,100,298,101,299,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,503.748981,3.033802952,2.728333235,4.022500038,1.451454114,0.056607269,5.198179722,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,193.78,1.248802952,0.943333235,2.237500038,-89.2442097,30.31476297,44.49520548,0
