Date,OBJECTID,SURFACE,CLASS,MCODE,RTNO,NAME,SCENIC,JURIS,LANES,NHS,LTWN,RTWN,DIVISION,ROADTYPE,COUNTY,ROADCLASS,F_SYSTEM,Urban_Code,Shape_Leng,Shape_Length,Z_Min,Z_Max,Z_Mean,Length3D,Min_Slope,Max_Slope,Avg_Slope,LongitudeX,LatitudeY,Distance_to_Coast_m,Damage_Status,nearest_station,Date,Max_Height,Return_Period,Rel_Elev_Min,Rel_Elev_Max,Rel_Elev_Mean,Precipitation,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir
5/7/18,884,1,3,27, ,RICHARD DR,0,1,0,0,PORTSMOUTH,PORTSMOUTH,NEWPORT, ,NEWPORT,4,7,72505,1522.213769,42.49304765,22.2504,23.4696,22.80455046,45.96878265,0,8.465851796,4.033210895,-71.25203678,41.63384634,286.6427155,Damage,Fall River,5/7/18,0.51816,2,21.73224,22.95144,22.28639046,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,883,1,3,27, ,HERITAGE DR,0,1,0,0,PORTSMOUTH,PORTSMOUTH,NEWPORT, ,NEWPORT,4,7,72505,1922.356535,174.3220296,21.0312,22.2504,21.60240554,181.4917498,0,8.481460336,2.955373253,-71.25179007,41.63422635,263.2563991,No Damage,Fall River,5/7/18,0.51816,2,20.51304,21.73224,21.08424554,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,3878,1,3,27, ,RICHARD DR,0,1,0,0,PORTSMOUTH,PORTSMOUTH,NEWPORT, ,NEWPORT,4,7,72505,216.9645763,88.37549725,19.2024,22.2504,20.67438518,93.66940047,0,8.405079322,3.418568232,-71.25259418,41.63398327,249.804053,No Damage,Fall River,5/7/18,0.51816,2,18.68424,21.73224,20.16,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,1397,1,30,27, ,BRISTOL FERRY RD,0,2,2,0,PORTSMOUTH,PORTSMOUTH,NEWPORT,STATE,NEWPORT,4,7,72505,92.4210232,37.76589529,19.2024,20.39300976,19.84588054,40.30619822,0,8.215126779,3.566372337,-71.25302258,41.63394271,239.3534633,No Damage,Fall River,5/7/18,0.51816,2,18.68424,19.87484976,19.32772054,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,3877,1,30,27, ,BRISTOL FERRY RD,0,2,2,0,PORTSMOUTH,PORTSMOUTH,NEWPORT,STATE,NEWPORT,4,7,72505,358.9025666,146.6657565,13.716,19.2024,16.59153869,157.9209628,0,8.515107919,3.943682173,-71.25280983,41.63454104,187.0476496,No Damage,Fall River,5/7/18,0.51816,2,13.19784,18.68424,16.07,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,550,1,30,27, ,BRISTOL FERRY RD,0,2,2,0,PORTSMOUTH,PORTSMOUTH,NEWPORT,STATE,NEWPORT,4,7,72505,254.2478421,94.36111908,20.1168,22.5552,21.36724352,100.4510201,0,8.505684059,3.610043793,-71.25317675,41.6335144,279.3082851,No Damage,Fall River,5/7/18,0.51816,2,19.59864,22.03704,20.84908352,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,4919,1,3,20, ,SAKONNET BLVD,0,1,0,0,NARRAGANSETT,NARRAGANSETT,WASHINGTON NORTH, ,WASHINGTON,4,7,72505,361.7025263,146.8203384,2.4384,3.6576,3.010553408,157.7312118,0,8.39969716,3.777180491,-71.46983053,41.39480399,140.4331969,Damage,Newport,5/7/18,0.3048,2,2.1336,3.3528,2.71,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,6186,1,3,20, ,SAKONNET BLVD,0,1,0,0,NARRAGANSETT,NARRAGANSETT,WASHINGTON NORTH, ,WASHINGTON,4,7,72505,591.4310429,161.740186,3.6576,6.7056,5.052555273,171.0875461,0,8.365481867,3.381176022,-71.47088947,41.39536792,246.1967983,No Damage,Newport,5/7/18,0.3048,2,3.3528,6.4008,4.75,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,4920,1,3,20, ,WALCOTT AVE,0,1,0,0,NARRAGANSETT,NARRAGANSETT,WASHINGTON NORTH, ,WASHINGTON,4,7,72505,226.0924013,91.78459706,4.572,6.4008,5.627258215,96.23205188,0,8.398740495,3.133867598,-71.47124951,41.39462876,219.5238799,No Damage,Newport,5/7/18,0.3048,2,4.2672,6.096,5.32,0.5,2.5,211,1.5,182,18,56,5.7,138
5/7/18,1762,1,30,20, ,OCEAN RD,0,2,2,0,NARRAGANSETT,NARRAGANSETT,WASHINGTON NORTH,STATE,WASHINGTON,3,4,72505,551.4396659,224.4178497,3.048,3.3528,3.273789217,241.5183516,0,8.471208656,3.873341451,-71.46999867,41.39336572,65.79732073,No Damage,Newport,5/7/18,0.3048,2,2.7432,3.048,2.97,0.5,2.5,211,1.5,182,18,56,5.7,138
