OBJECTID,Damage_Status,GID,BEGIN_DFO,END_DFO,RTE_NM,RTE_GRID,RTE_PRFX,RTE_NBR,RTE_SFX,RDBD_TYPE,DES_DRCT,COUNTY,MAP_LBL,ZOOM,EXT_DATE,Shape_Leng,Z_Mean,Z_Min,Z_Max,Avg_Slope,Min_Slope,Max_Slope,Longitude,Latitude,Nearest_Gauge,Max_Height,Return_Period,Distance_to_Coast_m,Nearest_Wave_Gauge,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Nearest_Wind_Gauge,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Mean,Rel_Elev_Min,Rel_Elev_Max,Inundation_Duration_Min
478,No Damage,211540,21.211,22.683,TL0028-KG,159818,TL,28,_,Single Roadbed,Northbound,_,San Luis-Vacek Pass Bridge,5,2/1/26,234.42855,3.059179744,0,5.800000191,3.09147094,0.054528717,8.0677948,-95.12715968,29.07723958,Glaveston,3.205,36743,6.427163319,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-0.145820256,-3.205,2.595000191,4164
489,Damage,1641255072,0,0.43,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,10,2/1/26,691.39847,1.655168788,1.169999957,1.850000024,1.463838865,0,11.47293186,-95.25014728,28.98161526,Glaveston,3.205,36743,116.8023664,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.549831212,-2.035000043,-1.354999976,2610
492,No Damage,1641255155,0,0.19,1309816,1641255155,CS,1309816,_,Single Roadbed,Westbound,_,BLUEWATER HWY,10,2/1/26,305.30173,1.824063046,1.570000052,2.035000086,1.45981724,0.012722837,6.154456139,-95.24574676,28.98493745,Glaveston,3.205,36743,115.2265744,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.380936954,-1.634999948,-1.169999914,1542
680,No Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.117,2.002082112,1.481999993,2.24000001,2.221642913,0.048052318,10.06200886,-95.12835287,29.07561202,Glaveston,3.205,36743,268.3803274,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.202917888,-1.723000007,-0.96499999,1686
681,No Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.04624,1.771767472,1.519999981,2.055000067,1.626013458,0.02448353,6.633088112,-95.12827423,29.0741798,Glaveston,3.205,36743,241.4678383,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.433232528,-1.685000019,-1.149999933,1650
682,Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.05926,1.78775909,1.460000038,2.00999999,1.986733191,0.02237956,6.920938492,-95.12819579,29.0725573,Glaveston,3.205,36743,78.00801186,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.41724091,-1.744999962,-1.19500001,1734
683,Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.16077,1.535567966,1.210000038,1.727499962,2.113269218,0.042393472,8.502006531,-95.12861373,29.07109787,Glaveston,3.205,36743,28.11226996,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.669432034,-1.994999962,-1.477500038,2490
684,Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.25836,1.523195076,1.289999962,1.674999952,1.903592701,0.022733556,5.913873196,-95.12937426,29.06969491,Glaveston,3.205,36743,94.94289205,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.681804924,-1.915000038,-1.530000048,2250
685,Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.4923,1.511943275,1.216666698,1.700000048,1.734419013,0.045467105,8.215826035,-95.13031738,29.06846842,Glaveston,3.205,36743,112.6623461,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.693056725,-1.988333302,-1.504999952,2478
686,Damage,1641255040,0.43,10.019,020AA0257,53700,CR,257,_,Single Roadbed,Westbound,Brazoria,BLUEWATER HWY,7,2/1/26,174.73373,1.586333155,1.235000014,1.809999943,1.689900366,0.025186982,10.78817844,-95.13184356,29.0675001,Glaveston,3.205,36743,88.08208303,Freeport,6.31,41,3.28,150,Freeport,41.7,327,26.5,201,League City,7.45,-1.618666845,-1.969999986,-1.395000057,2454
