Damage_Status,Distance_to_Coast_m,Inundation_Duration_Min
No Damage,240,420
No Damage,410,1260
No Damage,450,3180
No Damage,440,4980
Damage,470,2580
No Damage,460,4980
Damage,305,6060
Damage,250,5820
Damage,210,3660
Damage,215,3120
No Damage,270,2040
No Damage,260,2100
No Damage,235,1980
No Damage,165,1620
Damage,130,2400
Damage,125,4380
Damage,115,2520
Damage,130,3060
Damage,105,6180
Damage,90,2160
Damage,90,1920
Damage,145,2100
Damage,150,2160
Damage,150,1860
Damage,145,2040
Damage,145,2160
Damage,150,1440
Damage,145,2040
Damage,135,1080
Damage,120,2040
Damage,90,1980
Damage,75,1740
Damage,75,1800
Damage,80,2040
Damage,135,2160
No Damage,165,1860
No Damage,175,2040
No Damage,160,1740
Damage,90,1980
Damage,80,1740
Damage,80,1380
Damage,115,2520
Damage,135,3600
Damage,130,2040
Damage,130,2580
Damage,120,1860
Damage,145,1020
Damage,175,1860
Damage,175,1920
No Damage,190,1860
No Damage,210,2040
Damage,230,1920
Damage,210,2460
No Damage,230,1140
No Damage,230,2220
Damage,200,2220
Damage,150,1920
Damage,145,1980
Damage,145,1860
Damage,150,1020
Damage,150,1140
No Damage,160,1200
No Damage,170,1140
Damage,200,1200
No Damage,200,1200
No Damage,200,1080
No Damage,215,1200
Damage,220,4380
Damage,125,5400
Damage,115,3900
Damage,115,4380
Damage,120,3900
Damage,115,5460
Damage,105,5520
Damage,95,4920
Damage,110,2340
Damage,145,2220
Damage,140,1980
Damage,120,1500
Damage,95,4260
Damage,75,2700
Damage,110,3000
Damage,125,2820
Damage,85,2640
Damage,95,2940
Damage,100,3420
Damage,120,3480
Damage,125,3600
Damage,25,5160
Damage,100,5040
Damage,130,4860
Damage,130,2520
Damage,125,3240
Damage,145,1680
Damage,145,2640
Damage,75,1680
Damage,185,2400
